Title,Week,List,Rank,Author,Price,ISBN,Previous Rank,Weeks on List
A Wrinkle in Time,2/14/2018,Early & Middle,1,Madeleine L'Engle,8.99,9781250153272,,
Wonder,2/14/2018,Early & Middle,2,R.J. Palacio,16.99,9781524720193,,
Auggie & Me,2/14/2018,Early & Middle,3,R.J. Palacio,16.99,9781101934852,,
The Girl Who Drank the Moon,2/14/2018,Early & Middle,4,Kelly Barnhill,16.95,9781616205676,,
Smile,2/14/2018,Early & Middle,5,Raina Telgemeier,10.99,9780545132060,,
The War That Saved My Life,2/14/2018,Early & Middle,6,Kimberly Brubaker Bradley,8.99,9780147510488,,
Drama,2/14/2018,Early & Middle,7,Raina Telgemeier,10.99,9780545326995,,
The War I Finally Won,2/14/2018,Early & Middle,8,Kimberly Brubaker Bradley,16.99,9780525429203,,
Wishtree,2/14/2018,Early & Middle,9,Katherine Applegate,16.99,9781250043221,,
Sisters,2/14/2018,Early & Middle,10,Raina Telgemeier,10.99,9780545540605,,
Ghosts,2/14/2018,Early & Middle,11,Raina Telgemeier,10.99,9780545540629,,
Harry Potter: A Journey Through a History of Magic,2/14/2018,Early & Middle,12,British Library,19.99,9781338267105,,
The One and Only Ivan,2/14/2018,Early & Middle,13,Katherine Applegate & Patricia Castelao (Illus.),7.99,9780061992278,,
Dream Big Dreams: Photographs from Barack Obama's Inspiring and Historic Presidency,2/14/2018,Early & Middle,14,Pete Souza,21.99,9780316514392,,
Refugee,2/14/2018,Early & Middle,15,Alan Gratz,16.99,9780545880831,,
The Great Alone,2/14/2018,Hardcover Fiction,1,Kristin Hannah,28.99,9780312577230,,1
An American Marriage,2/14/2018,Hardcover Fiction,2,Tayari Jones,26.95,9781616201340,,1
The Woman in the Window,2/14/2018,Hardcover Fiction,3,A.J. Finn,26.99,9780062678416,1,6
A Gentleman in Moscow,2/14/2018,Hardcover Fiction,4,Amor Towles,27,9780670026197,3,75
The Immortalists,2/14/2018,Hardcover Fiction,5,Chloe Benjamin,26,9780735213180,2,5
Little Fires Everywhere,2/14/2018,Hardcover Fiction,6,Celeste Ng,27,9780735224292,5,22
"Sing, Unburied, Sing",2/14/2018,Hardcover Fiction,7,Jesmyn Ward,26,9781501126062,4,19
Still Me,2/14/2018,Hardcover Fiction,8,Jojo Moyes,27,9780399562457,6,2
Origin,2/14/2018,Hardcover Fiction,9,Dan Brown,29.95,9780385514231,7,19
The Wife Between Us,2/14/2018,Hardcover Fiction,10,Greer Hendricks,26.99,9781250130921,8,5
The Power,2/14/2018,Hardcover Fiction,11,Naomi Alderman,26,9780316547611,9,6
The Rooster Bar,2/14/2018,Hardcover Fiction,12,John Grisham,28.95,9780385541176,13,16
Artemis,2/14/2018,Hardcover Fiction,13,Andy Weir,27,9780553448122,11,13
Manhattan Beach,2/14/2018,Hardcover Fiction,14,Jennifer Egan,27,9781476716732,10,19
Munich,2/14/2018,Hardcover Fiction,15,Robert Harris,27.95,9780525520269,,1
Fire and Fury,2/14/2018,Hardcover Nonfiction,1,Michael Wolff,30,9781250158062,1,6
Astrophysics for People in a Hurry,2/14/2018,Hardcover Nonfiction,2,Neil deGrasse Tyson,18.95,9780393609394,2,41
The Subtle Art of Not Giving A F*ck,2/14/2018,Hardcover Nonfiction,3,Mark Manson,24.99,9780062457714,3,45
Leonardo da Vinci,2/14/2018,Hardcover Nonfiction,4,Walter Isaacson,35,9781501139154,4,17
The Last Black Unicorn,2/14/2018,Hardcover Nonfiction,5,Tiffany Haddish,26,9781501181825,8,7
The Monk of Mokha,2/14/2018,Hardcover Nonfiction,6,Dave Eggers,28.95,9781101947319,7,2
Killers of the Flower Moon,2/14/2018,Hardcover Nonfiction,7,David Grann,28.95,9780385534246,5,32
Obama: An Intimate Portrait,2/14/2018,Hardcover Nonfiction,8,Pete Souza,50,9780316512589,,8
Principles,2/14/2018,Hardcover Nonfiction,9,Ray Dalio,30,9781501124020,9,12
How Democracies Die,2/14/2018,Hardcover Nonfiction,10,Steven Levitsky,26,9781524762933,11,3
Hillbilly Elegy,2/14/2018,Hardcover Nonfiction,11,J.D. Vance,27.99,9780062300546,10,76
When,2/14/2018,Hardcover Nonfiction,12,Daniel H. Pink,28,9780735210622,6,5
Directorate S: The C.I.A. and America's Secret Wars in Afghanistan and Pakistan,2/14/2018,Hardcover Nonfiction,13,Steve Coll,35,9781594204586,,1
The Book of Joy,2/14/2018,Hardcover Nonfiction,14,The Dalai Lama,26,9780399185045,13,47
Feel Free,2/14/2018,Hardcover Nonfiction,15,Zadie Smith,28,9781594206252,,1
No Middle Name,2/14/2018,Mass Market,1,Lee Child,9.99,9780399593598,1,6
Ready Player One,2/14/2018,Mass Market,2,Ernest Cline,9.99,9780804190145,,1
The Whistler,2/14/2018,Mass Market,3,John Grisham,9.99,9781101967683,2,31
Never Never,2/14/2018,Mass Market,4,James Patterson,9.99,9781478944782,4,7
Dragon Teeth,2/14/2018,Mass Market,5,Michael Crichton,9.99,9780062473363,3,11
The Husband's Secret,2/14/2018,Mass Market,6,Liane Moriarty,9.99,9780451490049,8,30
Against All Odds,2/14/2018,Mass Market,7,Danielle Steel,8.99,9781101883938,6,3
Thomas Jefferson and the Tripoli Pirates,2/14/2018,Mass Market,8,Brian Kilmeade,9.99,9780143131830,7,2
What Alice Forgot,2/14/2018,Mass Market,9,Liane Moriarty,9.99,9780451490445,9,6
The Lost Order,2/14/2018,Mass Market,10,Steve Berry,9.99,9781250058461,10,5
The Underground Railroad,2/14/2018,Trade Paperback Fiction,1,Colson Whitehead,16.95,9780345804327,1,2
Lincoln in the Bardo,2/14/2018,Trade Paperback Fiction,2,George Saunders,17,9780812985405,,1
Pachinko,2/14/2018,Trade Paperback Fiction,3,Min Jin Lee,15.99,9781455563920,2,13
