Author,Movie Title,Movie Release Date,Book Title
Doug Stanton,12 Strong,1/19/2018,
W. Bruce Cameron,A Dog's Purpose,1/27/2017,
Madeleine L'Engle,A Wrinkle in Time ,3/9/2018,
Jennifer Niven,All the Bright Places,,
Jeff Vandermeer,Annihilation,2/23/2018,
Ruta Sepetys,Ashes in the Snow,,Between Shades of Gray 
Lauren Oliver,Before I Fall,3/3/2017,
Ann Patchett,Bel Canto,,
Melanie Joosten,Berlin Syndrome ,5/26/2017,
Garrard Conley,Boy Erased,9/28/2018,
André Aciman,Call Me by Your Name,11/24/2017,
Kevin Kwan,Crazy Rich Asians,8/17/2018,
David Levithan,Every Day,2/23/2018,
Nicola Yoon,"Everything, Everything",5/19/2017,
Ray Bradbury,Fahrenheit 451 ,,
J.K. Rowling,Fantastic Beasts: The Crimes of Grindelwald,11/16/2018,Fantastic Beasts and Where to Find Them 
E.L. James,Fifty Shades Darker ,2/10/2017,
EL James,Fifty Shades Freed,2/9/2018,
James R. Hansen,First Man,10/12/2018,First Man: The Life of Neil A. Armstrong
Heidi McLaughlin,Forever My Girl,1/19/2018,
Margot Lee Shetterly,Hidden Figures,12/25/2016,
Stephen King,It ,9/8/2017,
Louisa May Alcott,Little Women ,,
Dennis Lehane,Live by Night,1/13/2017,
Becky Albertelli,"Love, Simon",3/16/2018,Simon vs. the Homo Sapiens Agenda
P.L. Travers,Marry Poppins Returns,25-Dec,Mary Poppins
John Guy,"Mary, Queen of Scots",11/2/2018,My Heart is My Own: The Life of Mary Queen of Scots
James Dashner,Maze Runner: The Death Cure,1/26/2018,The Death Cure
Rudyard Kipling,Mogwai,10/19/2018,The Jungle Book
Walter Dean Myers,Monster ,,
Philip Reeve,Mortal Engines,12/14/2018,
Agatha Christie,Murder on the Orient Express ,11/22/2017,
Daphne du Maurier,My Cousin Rachel ,7/14/2017,
Ian McEwan,On Chesil Beach,5/18/2018,
Beatrix Potter,Peter Rabbit,2/9/2018,The Tale of Peter Rabbit
Ernest Cline,Ready Player One ,3/30/2018,
Jason Matthews,Red Sparrow,3/2/2018,
David Finkel,Thank You For Your Service,10/27/2017,
"Jeffrey E. Stern, Spencer Stone, Anthony Sadler and Alek Skarlatos",The 15:17 to Paris,2/9/2018,"The 15:17 to Paris: The True Story of a Terrorist, a Train, and Three American Soldiers "
Dav Pilkey,The Adventures of Captain Underpants ,6/2/2017,
Sylvia Plath,The Bell Jar ,,
Stephan Talty,The Black Hand,,
Dave Eggers,The Circle ,4/28/2017,
Stephen King,The Dark Tower,7/28/2017,
Alexandra Bracken,The Darkest Minds,9/14/2018,
Herman Koch,The Dinner ,5/5/2017,
David Lagercrantz,The Girl in the Spider's Web,10/19/2018,
Jeannette Walls,The Glass Castle,8/11/2017,
Dr. Seuss,The Grinch,11/9/2018,How the Grinch Stole Christmas
Mary Ann Shaffer and Annie Barrows,The Guernsey Literary and Potato Peel Pie Society,,
Peter Bognanni,The House of Tomorrow,4/20/2018,
John Bellairs,The House with a Clock in Its Walls,9/21/2018,
Sarah Waters,The Little Stranger,8/31/2018,
William Gay,The Long Home ,,
David Grann,The Lost City of Z ,4/21/2017,
Charles Martin,The Mountain Between Us ,10/20/2017,
Sam Munson,The November Criminals,12/8/2017,
Julian Barnes,The Sense of an Ending ,3/10/2017,
William P. Young,The Shack ,3/3/2017,
Jo Nesbø,The Snowman ,10/13/2017,
Robert Kimmel Smith,The War With Grandpa,2/23/2018,
Kevin Powers,The Yellow Birds,1/21/2017,
Diane Ackerman,The Zookeeper's Wife ,3/31/2017,
Anders Roslund and Borge Hellström,Three Seconds,8/17/2018,
Jenny Han,To All the Boys I’ve Loved Before ,,
Deborah Moggach,Tulip Fever ,2/24/2017,
Jean-Claude Mézières and Pierre Christin,Valerian and the City of a Thousand Planets,7/21/2017,Valerian & Laureline 
Shirley Jackson,We Have Always Lived in the Castle,,
Maria Semple,"Where'd You Go, Bernadette",5/11/2018,
R.J. Palacio,Wonder,11/17/2017,
